serie,archivo,campo,tipo,sha256,bytes,separador,decimal,codificacion,formato_fecha,filas_leidas,filas_con_fecha_duplicada,fecha_inicial,fecha_final,orden_original_ascendente,filas_en_periodo,filas_fuera_periodo,valores_invalidos,sha256_final,original_sin_cambios,cierres_validos,sesiones_nyse_esperadas,observaciones_validas_nyse
VIX,VIX.csv,CLOSE,cierre VIX,9258a25814fb936e7df32a96bcf3914fdbf342afb33cdf8759cdfbc8064ddb72,472309,",",.,utf-8-sig,%m/%d/%Y,9266,0,1990-01-02,2026-09-04,True,4807,4459,0,9258a25814fb936e7df32a96bcf3914fdbf342afb33cdf8759cdfbc8064ddb72,True,228,4780,4780
PUT,PUT.csv,PUT,nivel de índice,de5e047788418441d6c65f3b5d55c80e2664c1406b9d017550b532d092209fdd,113146,",",.,utf-8-sig,%m/%d/%Y,4957,0,1991-03-04,2026-09-04,True,4780,177,0,de5e047788418441d6c65f3b5d55c80e2664c1406b9d017550b532d092209fdd,True,228,4780,4780
CNDR,CNDR.csv,CNDR,nivel de índice,626ced0ca84f31a106f5980a3e7480f408c12a8b13ebef1615a56737643ac956,222582,",",.,utf-8-sig,%m/%d/%Y,10125,0,1986-06-20,2026-09-04,True,4777,5348,0,626ced0ca84f31a106f5980a3e7480f408c12a8b13ebef1615a56737643ac956,True,228,4780,4777
PPUT,PPUT.csv,PPUT,nivel de índice,108ad9d8d76624507d9f87c92065d12af166bbd1444aa4a26eba3edbbe3f33ca,224173,",",.,utf-8-sig,%m/%d/%Y,10119,0,1986-06-30,2026-09-04,True,4777,5342,0,108ad9d8d76624507d9f87c92065d12af166bbd1444aa4a26eba3edbbe3f33ca,True,228,4780,4777
SPY,SPY_Tiingo.csv,adjClose,ETF con cierre ajustado,638ccdd088fdb56f43ad8ac5843b56fd1965960299e3dbd480db215192e49e59,198129,",",.,utf-8-sig,%Y-%m-%d,4780,0,2007-01-03,2025-12-31,True,4780,0,0,638ccdd088fdb56f43ad8ac5843b56fd1965960299e3dbd480db215192e49e59,True,228,4780,4780
