tipo,serie,fecha,archivo,fila_csv,valor_original,detalle
fuera_periodo,VIX,1990-03-21,VIX.csv,,20.1,Excluido: datos de enero de 2007 a diciembre de 2025.
fuera_periodo,VIX,1990-03-22,VIX.csv,,22.74,Excluido: datos de enero de 2007 a diciembre de 2025.
fuera_periodo,VIX,1990-03-23,VIX.csv,,20.46,Excluido: datos de enero de 2007 a diciembre de 2025.
fuera_periodo,VIX,1990-03-26,VIX.csv,,19.59,Excluido: datos de enero de 2007 a diciembre de 2025.
fuera_periodo,VIX,1990-03-27,VIX.csv,,21.01,Excluido: datos de enero de 2007 a diciembre de 2025.
fuera_periodo,VIX,1990-03-28,VIX.csv,,19.77,Excluido: datos de enero de 2007 a diciembre de 2025.
fuera_periodo,VIX,1990-03-29,VIX.csv,,18.46,Excluido: datos de enero de 2007 a diciembre de 2025.
fuera_periodo,VIX,1990-03-30,VIX.csv,,19.73,Excluido: datos de enero de 2007 a diciembre de 2025.
fuera_periodo,VIX,1990-04-02,VIX.csv,,22.84,Excluido: datos de enero de 2007 a diciembre de 2025.
fuera_periodo,VIX,1990-04-03,VIX.csv,,20.44,Excluido: datos de enero de 2007 a diciembre de 2025.
fuera_periodo,VIX,1990-04-04,VIX.csv,,22.03,Excluido: datos de enero de 2007 a diciembre de 2025.
fuera_periodo,VIX,1990-04-05,VIX.csv,,21.21,Excluido: datos de enero de 2007 a diciembre de 2025.
fuera_periodo,VIX,1990-04-06,VIX.csv,,21.76,Excluido: datos de enero de 2007 a diciembre de 2025.
fuera_periodo,VIX,1990-04-09,VIX.csv,,22.3,Excluido: datos de enero de 2007 a diciembre de 2025.
fuera_periodo,VIX,1990-04-10,VIX.csv,,21.69,Excluido: datos de enero de 2007 a diciembre de 2025.
fuera_periodo,VIX,1990-04-11,VIX.csv,,17.73,Excluido: datos de enero de 2007 a diciembre de 2025.
fuera_periodo,VIX,1990-04-12,VIX.csv,,19.8,Excluido: datos de enero de 2007 a diciembre de 2025.
fuera_periodo,VIX,1990-04-16,VIX.csv,,20.75,Excluido: datos de enero de 2007 a diciembre de 2025.
fuera_periodo,VIX,1990-04-17,VIX.csv,,20.38,Excluido: datos de enero de 2007 a diciembre de 2025.
fuera_periodo,VIX,1990-04-18,VIX.csv,,22.67,Excluido: datos de enero de 2007 a diciembre de 2025.
fuera_periodo,VIX,1990-04-19,VIX.csv,,22.46,Excluido: datos de enero de 2007 a diciembre de 2025.
fuera_periodo,VIX,1990-04-20,VIX.csv,,23.33,Excluido: datos de enero de 2007 a diciembre de 2025.
fuera_periodo,VIX,1990-04-23,VIX.csv,,24.16,Excluido: datos de enero de 2007 a diciembre de 2025.
fuera_periodo,VIX,1990-04-24,VIX.csv,,21.7,Excluido: datos de enero de 2007 a diciembre de 2025.
fuera_periodo,VIX,1990-04-25,VIX.csv,,20.86,Excluido: datos de enero de 2007 a diciembre de 2025.
fuera_periodo,VIX,1990-04-26,VIX.csv,,20.25,Excluido: datos de enero de 2007 a diciembre de 2025.
fuera_periodo,VIX,1990-04-27,VIX.csv,,22.19,Excluido: datos de enero de 2007 a diciembre de 2025.
fuera_periodo,VIX,1990-04-30,VIX.csv,,19.52,Excluido: datos de enero de 2007 a diciembre de 2025.
fuera_periodo,VIX,1990-05-01,VIX.csv,,18.43,Excluido: datos de enero de 2007 a diciembre de 2025.
fuera_periodo,VIX,1990-05-02,VIX.csv,,19.32,Excluido: datos de enero de 2007 a diciembre de 2025.
fuera_periodo,VIX,1990-05-03,VIX.csv,,17.81,Excluido: datos de enero de 2007 a diciembre de 2025.
fuera_periodo,VIX,1990-05-04,VIX.csv,,17.28,Excluido: datos de enero de 2007 a diciembre de 2025.
fuera_periodo,VIX,1990-05-07,VIX.csv,,17.65,Excluido: datos de enero de 2007 a diciembre de 2025.
fuera_periodo,VIX,1990-05-08,VIX.csv,,18.49,Excluido: datos de enero de 2007 a diciembre de 2025.
fuera_periodo,VIX,1990-05-09,VIX.csv,,18.64,Excluido: datos de enero de 2007 a diciembre de 2025.
fuera_periodo,VIX,1990-05-10,VIX.csv,,18.59,Excluido: datos de enero de 2007 a diciembre de 2025.
fuera_periodo,VIX,1990-05-11,VIX.csv,,19.81,Excluido: datos de enero de 2007 a diciembre de 2025.
fuera_periodo,VIX,1990-05-14,VIX.csv,,20.14,Excluido: datos de enero de 2007 a diciembre de 2025.
fuera_periodo,VIX,1990-05-15,VIX.csv,,19.49,Excluido: datos de enero de 2007 a diciembre de 2025.
fuera_periodo,VIX,1990-05-16,VIX.csv,,17.71,Excluido: datos de enero de 2007 a diciembre de 2025.
fuera_periodo,VIX,1990-05-17,VIX.csv,,17.27,Excluido: datos de enero de 2007 a diciembre de 2025.
fuera_periodo,VIX,1990-05-18,VIX.csv,,17.2,Excluido: datos de enero de 2007 a diciembre de 2025.
fuera_periodo,VIX,1990-05-21,VIX.csv,,16.72,Excluido: datos de enero de 2007 a diciembre de 2025.
fuera_periodo,VIX,1990-05-22,VIX.csv,,17.84,Excluido: datos de enero de 2007 a diciembre de 2025.
fuera_periodo,VIX,1990-05-23,VIX.csv,,17.18,Excluido: datos de enero de 2007 a diciembre de 2025.
fuera_periodo,VIX,1990-05-24,VIX.csv,,17.7,Excluido: datos de enero de 2007 a diciembre de 2025.
fuera_periodo,VIX,1990-05-25,VIX.csv,,17.32,Excluido: datos de enero de 2007 a diciembre de 2025.
fuera_periodo,VIX,1990-05-29,VIX.csv,,18.75,Excluido: datos de enero de 2007 a diciembre de 2025.
fuera_periodo,VIX,1990-05-30,VIX.csv,,17.44,Excluido: datos de enero de 2007 a diciembre de 2025.
fuera_periodo,VIX,1990-05-31,VIX.csv,,17.37,Excluido: datos de enero de 2007 a diciembre de 2025.
fuera_periodo,VIX,1990-06-01,VIX.csv,,17.09,Excluido: datos de enero de 2007 a diciembre de 2025.
fuera_periodo,VIX,1990-06-04,VIX.csv,,18.39,Excluido: datos de enero de 2007 a diciembre de 2025.
fuera_periodo,VIX,1990-06-05,VIX.csv,,18.97,Excluido: datos de enero de 2007 a diciembre de 2025.
fuera_periodo,VIX,1990-06-06,VIX.csv,,17.42,Excluido: datos de enero de 2007 a diciembre de 2025.
fuera_periodo,VIX,1990-06-07,VIX.csv,,16.88,Excluido: datos de enero de 2007 a diciembre de 2025.
fuera_periodo,VIX,1990-06-08,VIX.csv,,17.58,Excluido: datos de enero de 2007 a diciembre de 2025.
fuera_periodo,VIX,1990-06-11,VIX.csv,,16.34,Excluido: datos de enero de 2007 a diciembre de 2025.
fuera_periodo,VIX,1990-06-12,VIX.csv,,16.6,Excluido: datos de enero de 2007 a diciembre de 2025.
fuera_periodo,VIX,1990-06-13,VIX.csv,,17.38,Excluido: datos de enero de 2007 a diciembre de 2025.
fuera_periodo,VIX,1990-06-14,VIX.csv,,17.4,Excluido: datos de enero de 2007 a diciembre de 2025.
fuera_periodo,VIX,1990-06-15,VIX.csv,,15.9,Excluido: datos de enero de 2007 a diciembre de 2025.
fuera_periodo,VIX,1990-06-18,VIX.csv,,17.71,Excluido: datos de enero de 2007 a diciembre de 2025.
fuera_periodo,VIX,1990-06-19,VIX.csv,,15.23,Excluido: datos de enero de 2007 a diciembre de 2025.
fuera_periodo,VIX,1990-06-20,VIX.csv,,15.27,Excluido: datos de enero de 2007 a diciembre de 2025.
fuera_periodo,VIX,1990-06-21,VIX.csv,,14.72,Excluido: datos de enero de 2007 a diciembre de 2025.
fuera_periodo,VIX,1990-06-22,VIX.csv,,19.36,Excluido: datos de enero de 2007 a diciembre de 2025.
fuera_periodo,VIX,1990-06-25,VIX.csv,,17.06,Excluido: datos de enero de 2007 a diciembre de 2025.
fuera_periodo,VIX,1990-06-26,VIX.csv,,16.29,Excluido: datos de enero de 2007 a diciembre de 2025.
fuera_periodo,VIX,1990-06-27,VIX.csv,,16,Excluido: datos de enero de 2007 a diciembre de 2025.
fuera_periodo,VIX,1990-06-28,VIX.csv,,16.18,Excluido: datos de enero de 2007 a diciembre de 2025.
fuera_periodo,VIX,1990-06-29,VIX.csv,,15.5,Excluido: datos de enero de 2007 a diciembre de 2025.
fuera_periodo,VIX,1990-07-02,VIX.csv,,16.26,Excluido: datos de enero de 2007 a diciembre de 2025.
fuera_periodo,VIX,1990-07-03,VIX.csv,,16.11,Excluido: datos de enero de 2007 a diciembre de 2025.
fuera_periodo,VIX,1990-07-05,VIX.csv,,17.25,Excluido: datos de enero de 2007 a diciembre de 2025.
fuera_periodo,VIX,1990-07-06,VIX.csv,,16.41,Excluido: datos de enero de 2007 a diciembre de 2025.
fuera_periodo,VIX,1990-07-09,VIX.csv,,16.66,Excluido: datos de enero de 2007 a diciembre de 2025.
fuera_periodo,VIX,1990-07-10,VIX.csv,,16.92,Excluido: datos de enero de 2007 a diciembre de 2025.
fuera_periodo,VIX,1990-07-11,VIX.csv,,16.68,Excluido: datos de enero de 2007 a diciembre de 2025.
fuera_periodo,VIX,1990-07-12,VIX.csv,,17.06,Excluido: datos de enero de 2007 a diciembre de 2025.
fuera_periodo,VIX,1990-07-13,VIX.csv,,17.09,Excluido: datos de enero de 2007 a diciembre de 2025.
fuera_periodo,VIX,1990-07-16,VIX.csv,,16.75,Excluido: datos de enero de 2007 a diciembre de 2025.
fuera_periodo,VIX,1990-07-17,VIX.csv,,16.66,Excluido: datos de enero de 2007 a diciembre de 2025.
fuera_periodo,VIX,1990-07-18,VIX.csv,,18.9,Excluido: datos de enero de 2007 a diciembre de 2025.
fuera_periodo,VIX,1990-07-19,VIX.csv,,18.56,Excluido: datos de enero de 2007 a diciembre de 2025.
fuera_periodo,VIX,1990-07-20,VIX.csv,,15.63,Excluido: datos de enero de 2007 a diciembre de 2025.
fuera_periodo,VIX,1990-07-23,VIX.csv,,23.68,Excluido: datos de enero de 2007 a diciembre de 2025.
fuera_periodo,VIX,1990-07-24,VIX.csv,,21.79,Excluido: datos de enero de 2007 a diciembre de 2025.
fuera_periodo,VIX,1990-07-25,VIX.csv,,20.19,Excluido: datos de enero de 2007 a diciembre de 2025.
fuera_periodo,VIX,1990-07-26,VIX.csv,,20.26,Excluido: datos de enero de 2007 a diciembre de 2025.
fuera_periodo,VIX,1990-07-27,VIX.csv,,21.12,Excluido: datos de enero de 2007 a diciembre de 2025.
fuera_periodo,VIX,1990-07-30,VIX.csv,,21.16,Excluido: datos de enero de 2007 a diciembre de 2025.
fuera_periodo,VIX,1990-07-31,VIX.csv,,21.11,Excluido: datos de enero de 2007 a diciembre de 2025.
fuera_periodo,VIX,1990-08-01,VIX.csv,,21.64,Excluido: datos de enero de 2007 a diciembre de 2025.
fuera_periodo,VIX,1990-08-02,VIX.csv,,20.43,Excluido: datos de enero de 2007 a diciembre de 2025.
fuera_periodo,VIX,1990-08-03,VIX.csv,,28.74,Excluido: datos de enero de 2007 a diciembre de 2025.
fuera_periodo,VIX,1990-08-06,VIX.csv,,35.91,Excluido: datos de enero de 2007 a diciembre de 2025.
fuera_periodo,VIX,1990-08-07,VIX.csv,,32.75,Excluido: datos de enero de 2007 a diciembre de 2025.
fuera_periodo,VIX,1990-08-08,VIX.csv,,28.27,Excluido: datos de enero de 2007 a diciembre de 2025.
fuera_periodo,VIX,1990-08-09,VIX.csv,,24.39,Excluido: datos de enero de 2007 a diciembre de 2025.
fuera_periodo,VIX,1990-08-10,VIX.csv,,25.75,Excluido: datos de enero de 2007 a diciembre de 2025.
fuera_periodo,VIX,1990-08-13,VIX.csv,,25.74,Excluido: datos de enero de 2007 a diciembre de 2025.
fuera_periodo,VIX,1990-08-14,VIX.csv,,24.18,Excluido: datos de enero de 2007 a diciembre de 2025.
fuera_periodo,VIX,1990-08-15,VIX.csv,,23.31,Excluido: datos de enero de 2007 a diciembre de 2025.
fuera_periodo,VIX,1990-08-16,VIX.csv,,27.16,Excluido: datos de enero de 2007 a diciembre de 2025.
fuera_periodo,VIX,1990-08-17,VIX.csv,,27.53,Excluido: datos de enero de 2007 a diciembre de 2025.
fuera_periodo,VIX,1990-08-20,VIX.csv,,26.46,Excluido: datos de enero de 2007 a diciembre de 2025.
fuera_periodo,VIX,1990-08-21,VIX.csv,,28.9,Excluido: datos de enero de 2007 a diciembre de 2025.
fuera_periodo,VIX,1990-08-22,VIX.csv,,30.55,Excluido: datos de enero de 2007 a diciembre de 2025.
fuera_periodo,VIX,1990-08-23,VIX.csv,,36.47,Excluido: datos de enero de 2007 a diciembre de 2025.
fuera_periodo,VIX,1990-08-24,VIX.csv,,33.93,Excluido: datos de enero de 2007 a diciembre de 2025.
fuera_periodo,VIX,1990-08-27,VIX.csv,,29.63,Excluido: datos de enero de 2007 a diciembre de 2025.
fuera_periodo,VIX,1990-08-28,VIX.csv,,29.12,Excluido: datos de enero de 2007 a diciembre de 2025.
fuera_periodo,VIX,1990-08-29,VIX.csv,,27.38,Excluido: datos de enero de 2007 a diciembre de 2025.
