date,adjClose,close,divCash,splitFactor
2007-01-03,98.8070558542,141.369995,0.0,1.0
2007-01-04,99.0167355191,141.669998,0.0,1.0
2007-01-05,98.2269465179,140.539993,0.0,1.0
2007-01-08,98.6812542058,141.190002,0.0,1.0
2007-01-09,98.5973866732,141.070007,0.0,1.0
2007-01-10,98.9258717449,141.539993,0.0,1.0
2007-01-11,99.3592130739,142.160004,0.0,1.0
2007-01-12,100.114053018,143.240005,0.0,1.0
2007-01-16,99.9183553523,142.960007,0.0,1.0
2007-01-17,99.9602887691,143.020004,0.0,1.0
2007-01-18,99.624796972,142.539993,0.0,1.0
2007-01-19,99.8205058205,142.820007,0.0,1.0
2007-01-22,99.5129773228,142.380005,0.0,1.0
2007-01-23,99.8065245203,142.800003,0.0,1.0
2007-01-24,100.6102843378,143.949997,0.0,1.0
2007-01-25,99.4290993063,142.259995,0.0,1.0
2007-01-26,99.338246016,142.130005,0.0,1.0
2007-01-29,99.2823306,142.050003,0.0,1.0
2007-01-30,99.7995282787,142.789993,0.0,1.0
2007-01-31,100.4705013892,143.75,0.0,1.0
2007-02-01,101.0715777834,144.610001,0.0,1.0
2007-02-02,101.211360732,144.809998,0.0,1.0
2007-02-05,101.2393233325,144.850006,0.0,1.0
2007-02-06,101.2672754491,144.889999,0.0,1.0
2007-02-07,101.4909371132,145.210007,0.0,1.0
2007-02-08,101.3581392233,145.020004,0.0,1.0
2007-02-09,100.6032985802,143.940002,0.0,1.0
2007-02-12,100.2608217243,143.449997,0.0,1.0
2007-02-13,101.1065261415,144.660004,0.0,1.0
2007-02-14,101.7705030104,145.610001,0.0,1.0
2007-02-15,101.9033002014,145.800003,0.0,1.0
2007-02-16,101.8543705431,145.729996,0.0,1.0
2007-02-20,102.0710352667,146.039993,0.0,1.0
2007-02-21,102.0291018498,145.979996,0.0,1.0
2007-02-22,101.9522193759,145.869995,0.0,1.0
2007-02-23,101.5538375879,145.300003,0.0,1.0
2007-02-26,101.4629738138,145.169998,0.0,1.0
2007-02-27,97.5000691742,139.5,0.0,1.0
2007-02-28,98.4995273564,140.929993,0.0,1.0
2007-03-01,98.2059801589,140.509995,0.0,1.0
2007-03-02,96.9199598379,138.669998,0.0,1.0
2007-03-05,95.9973841296,137.350006,0.0,1.0
2007-03-06,97.6398521228,139.699997,0.0,1.0
2007-03-07,97.54200329,139.559998,0.0,1.0
2007-03-08,98.3667399504,140.740005,0.0,1.0
2007-03-09,98.3946927659,140.779999,0.0,1.0
2007-03-12,98.5414712571,140.990005,0.0,1.0
2007-03-13,96.6264126404,138.25,0.0,1.0
2007-03-14,97.3463049253,139.279999,0.0,1.0
2007-03-15,97.4791021163,139.470001,0.0,1.0
2007-03-16,97.207407515,138.529999,0.55127,1.0
2007-03-19,98.3792560482,140.199997,0.0,1.0
2007-03-20,98.9195728976,140.970001,0.0,1.0
2007-03-21,100.5475264774,143.289993,0.0,1.0
2007-03-22,100.470338757,143.179993,0.0,1.0
2007-03-23,100.6177013425,143.389999,0.0,1.0
2007-03-26,100.4843756948,143.199997,0.0,1.0
2007-03-27,100.245798275,142.860001,0.0,1.0
2007-03-28,99.5160276744,141.820007,0.0,1.0
2007-03-29,99.6212794465,141.970001,0.0,1.0
2007-03-30,99.6423299413,142.0,0.0,1.0
2007-04-02,99.7546057959,142.160004,0.0,1.0
2007-04-03,100.8282154123,143.690002,0.0,1.0
2007-04-04,100.940491267,143.850006,0.0,1.0
2007-04-05,101.2141561193,144.240005,0.0,1.0
2007-04-09,101.354495324,144.440002,0.0,1.0
2007-04-10,101.4737847356,144.610001,0.0,1.0
2007-04-11,101.0597799769,144.020004,0.0,1.0
2007-04-12,101.5088721681,144.660004,0.0,1.0
2007-04-13,101.9720005955,145.320007,0.0,1.0
2007-04-16,102.9403486159,146.699997,0.0,1.0
2007-04-17,103.2140134683,147.089996,0.0,1.0
2007-04-18,103.3403262607,147.270004,0.0,1.0
2007-04-19,103.3122523851,147.229996,0.0,1.0
2007-04-20,104.2876237864,148.619995,0.0,1.0
2007-04-23,103.8946702241,148.059998,0.0,1.0
2007-04-24,103.9367705119,148.119995,0.0,1.0
2007-04-25,104.8910921201,149.479996,0.0,1.0
2007-04-26,105.01038083,149.649994,0.0,1.0
2007-04-27,104.9261795527,149.529999,0.0,1.0
2007-04-30,104.0560592218,148.289993,0.0,1.0
2007-05-01,104.3227112189,148.669998,0.0,1.0
2007-05-02,104.9331924079,149.539993,0.0,1.0
2007-05-03,105.5015838347,150.350006,0.0,1.0
2007-05-04,105.9015509539,150.919998,0.0,1.0
2007-05-07,105.9226014487,150.949997,0.0,1.0
2007-05-08,105.782262244,150.75,0.0,1.0
2007-05-09,106.0699647359,151.160004,0.0,1.0
2007-05-10,104.9612669852,149.580002,0.0,1.0
2007-05-11,105.8594506661,150.860001,0.0,1.0
2007-05-14,105.6278861015,150.529999,0.0,1.0
2007-05-15,105.6559599772,150.570007,0.0,1.0
2007-05-16,106.3787170208,151.600006,0.0,1.0
2007-05-17,106.168202951,151.300003,0.0,1.0
2007-05-18,107.0944499819,152.619995,0.0,1.0
2007-05-21,107.0383120546,152.539993,0.0,1.0
2007-05-22,106.9541107772,152.419998,0.0,1.0
2007-05-23,106.968147715,152.440002,0.0,1.0
2007-05-24,105.9997898707,151.059998,0.0,1.0
2007-05-25,106.4418678034,151.690002,0.0,1.0
2007-05-29,106.8278085104,152.240005,0.0,1.0
2007-05-30,107.6979183156,153.479996,0.0,1.0
2007-05-31,107.5856529866,153.320007,0.0,1.0
2007-06-01,108.1189464552,154.080002,0.0,1.0
2007-06-04,108.132983393,154.100006,0.0,1.0
2007-06-05,107.7049416965,153.490005,0.0,1.0
2007-06-06,106.5471195755,151.839996,0.0,1.0
2007-06-07,104.6244506486,149.100006,0.0,1.0
2007-06-08,105.9857522312,151.039993,0.0,1.0
2007-06-11,106.168202951,151.300003,0.0,1.0
2007-06-12,105.01038083,149.649994,0.0,1.0
