analisis,umbral_vix,grupo,serie,cantidad_observaciones,rendimiento_medio_pct,mediana_pct,desviacion_estandar_pct,porcentaje_meses_negativos,peor_rendimiento_mensual_pct,diferencia_media_vs_spy_pp,cantidad_pares_vs_spy
principal,30,bajo,PUT,205,0.580574769041099,1.07800688504809,2.34453118444835,26.3414634146341,-9.06388418205059,-0.313811610144215,205
principal,30,bajo,CNDR,205,0.0475505406402594,0.503240871210586,1.90423425997983,35.609756097561,-7.942616298856,-0.846835838545055,205
principal,30,bajo,PPUT,205,0.632331721049352,1.01244793296897,3.30995435110313,39.0243902439024,-8.79609520514161,-0.262054658135962,205
principal,30,bajo,SPY,205,0.894386379185314,1.51165273805363,3.80871268469952,33.6585365853659,-9.43732566709457,0,205
principal,30,alto,PUT,22,0.884358446566958,4.03715617026695,7.28634011011683,36.3636363636364,-17.6501596948743,-0.530067833838777,22
principal,30,alto,CNDR,22,0.195292807630529,1.24625600930026,2.76192759639886,36.3636363636364,-7.08643248819155,-1.21913347277521,22
principal,30,alto,PPUT,22,1.40557603213419,2.03994484827013,4.89389926361901,27.2727272727273,-9.80233311730395,-0.00885024827154286,22
principal,30,alto,SPY,22,1.41442628040574,4.2600423638532,8.51528143267073,31.8181818181818,-16.5186622384042,0,22
sensibilidad,25,bajo,PUT,182,0.52540246422771,1.0588320617782,2.21416120940298,26.3736263736264,-9.06388418205059,-0.341436834831153,182
sensibilidad,25,bajo,CNDR,182,0.0238059280463687,0.477217892420589,1.86639479220128,36.2637362637363,-7.942616298856,-0.843033371012494,182
sensibilidad,25,bajo,PPUT,182,0.629153949699024,1.01746702665468,3.15322562629095,37.9120879120879,-8.02708803611738,-0.237685349359839,182
sensibilidad,25,bajo,SPY,182,0.866839299058863,1.51179906527046,3.60644340931726,31.8681318681319,-9.43732566709457,0,182
sensibilidad,25,alto,PUT,45,0.952232555299005,2.2532265106975,5.52713253536703,31.1111111111111,-17.6501596948743,-0.30780818854994,45
sensibilidad,25,alto,CNDR,45,0.215813859881905,1.13215225195111,2.4703789341864,33.3333333333333,-7.91894951913692,-1.04422688396704,45
sensibilidad,25,alto,PPUT,45,1.02321459281882,1.91625923952081,4.63328379700819,37.7777777777778,-9.80233311730395,-0.236826151030124,45
sensibilidad,25,alto,SPY,45,1.26004074384895,2.7805550301123,6.95378315210088,40,-16.5186622384042,0,45
